customer_number,route_number,account_name,address,city,state,zip_code,service_days,avg_wkly_volume,latitude,longitude,uniform_customer
319411,2502-05,Safari RV,3145 Twin View Boulevard,Shasta Lake,CA,96019,R,$38 ,40.65735,-122.35694,6
323795,2502-05,Shasta College Culinary Department,11555 Old Oregon Trail,Redding,CA,96003,F,$0 ,40.623461,-122.3196,0
257249,2502-05,COR St Division Bldg #3 Rdg,"20055 Viking Way, Bldg 3",Redding,CA,960038295,F,$18 ,40.578331,-122.312401,0
170898,2502-05,Shasta Lake Fires ,4126 Ashby Ct,Shasta Lake,CA,960199215,R,$34 ,40.680694,-122.371815,0
171159,2502-05,Systems Plus,1800 S Barney Rd,Anderson,CA,96007-9703,W,$15 ,40.440645,-122.287017,0
171730,2502-05,FCCC - Shasta Col Smg Refer,11155 Old Oregon Trl,Redding,CA,96003-7684,F,$16 ,40.612193,-122.316936,0
297844,2502-05,Sierra Pacific D/S,19794 Riverside Dr.,Anderson,CA,96007,W,$0 ,40.46913,-122.28826,0
302083,2502-05,Alvarez Auto Care,4610 Shasta Dam Boulevard,Shasta Lake,CA,96019,R,$13 ,40.6803,-122.3632,0
308981,2502-05,PGE Fleet - Redding,3600 Meadow View Drive,Redding,CA,96002,W,$51 ,40.49843,-122.30648,163
317102,2502-05,Central Valley High School,4066 La Mesa Avenue,Shasta Lake,CA,96019,R,$126 ,40.67751,-122.37391,0
226078,2502-05,Tri Co. Bank  #691,4715 Shasta Dam Blvd,Shasta Lake,CA,96019-9415,R,$35 ,40.680408,-122.361641,0
257331,2502-05,COR Police Department Rdg,855 Cypress Ave,Redding,CA,96001-2719,T,$67 ,40.574921,-122.382072,0
195599,2502-05,North State Towing,7010 Danyeur Rd,Redding,CA,96001-5358,T,$28 ,40.514381,-122.37796,0
171410,2502-05,SC-Public Health Lab,2650 Breslauer Way,Redding,CA,96001-4246,T,$19 ,40.549648,-122.379128,15
245380,2502-05,Seco - D/S,4155 Oasis Rd,Redding,CA,96003-0859,R,$0 ,40.633289,-122.391144,0
271451,2502-05,California Welcome Center DS,1699 State Highway 273,Anderson,CA,960074282,W,$0 ,40.436155,-122.289558,0
283647,2502-05,Torr Industries,4564 Catapillar,Redding,CA,96003,M,$55 ,40.61714,-122.35662,0
297617,2502-05,SC- Corp Yard Fall River,24665 Glenburn,Fall River Mills,CA,96028,T,$58 ,41.00538,-121.45117,97
298782,2502-05,Big Time Pest Control,19905 Hirsch Court,Anderson,CA,96007,T,$286 ,40.46766,-122.31601,398
300102,2502-05,Shasta Mosquito & Vector Control District,19200 Latona Road,Anderson,CA,96007,T,$259 ,40.48679,-122.33989,237
301010,2502-05,Bureau of Reclamation - Shasta,16349 Shasta Dam Boulevard,Shasta Lake,CA,96019,R,$52 ,40.68955,-122.38962,55
324133,2502-05,Lakeshore Inn Resort,20483 Lakeshore Drive,Lakehead,CA,96051,R,$236 ,40.87912,-122.388381,0
213368,2502-09,North Redding Valero,1191 Prestige Way,Redding,CA,96003-1465,F,$45 ,40.625431,-122.372452,0
170891,2502-09,SC-SHASCOM,3101 South St,Redding,CA,96001-2379,F,$11 ,40.575298,-122.413208,0
265978,2502-09,Lassen Municipal Utility,65 S Roop St,Susanville,CA,961304335,T,$32 ,40.418312,-120.663441,0
268785,2502-09,Showboat Lounge,"105 Hartnell Ave, Ste A",Redding,CA,960021841,W,$25 ,40.569279,-122.369438,0
278085,2502-09,TLC Dermatology Medical Center,375 Smile Place Suite B,Redding,CA,96001,W,$62 ,40.56941,-122.3774,0
285622,2502-09,Giouann's Hair Affair,30 North McDow Street,Susanville,CA,96130,T,$29 ,40.41493,-120.64607,0
320827,2502-09,Susanville Supermarket - Meat Dept.,50 Grand Avenue,Susanville,CA,96130,T,$50 ,40.41731,-120.65304,38
171567,2502-09,Mazatlan Grill,55 N Lassen St,Susanville,CA,96130,T,$68 ,40.419161,-120.661652,0
171574,2502-09,Lassen Tire,2955 Johnstonville Rd,Susanville,CA,96130-4736,T,$34 ,40.408831,-120.633943,14
171633,2502-09,Kentucky Fried Chicken,3010 Riverside Dr,Susanville,CA,96130-4570,T,$32 ,40.406101,-120.631653,0
170775,2502-09,Holiday Mkt 59 Line,3315 Placer St,Redding,CA,96001-2364,F,$165 ,40.574928,-122.416061,0
266010,2502-09,Lassen Municipal Service,1605 Chestnut St,Susanville,CA,961303774,T,$62 ,40.42395,-120.646629,7
296457,2502-09,Angelo's European Specialty,1870 Keystone Ct.,Redding,CA,96003,W,$19 ,40.57935,-122.33345,10
299765,2502-09,Wayside Inn Market,718 710 Hwy 395,Standish,CA,96128,T,$13 ,40.36523,-120.42042,0
318321,2502-09,SETI Institute,42231 Bidwell Road,Hat Creek,CA,96040,T,$128 ,40.82655,-121.46092,0
319868,2502-09,Bings Steak & Sushi Bar,1600 Main Street,Susanville,CA,96130,T,$36 ,40.41557,-120.65021,0
320742,2502-09,Peery Chiropractic,3075 Victor Avenue,Redding,CA,96002,W,$5 ,40.56278,-122.33943,0
323109,2502-09,Lassen College - Custodial ,478-200 CA - 139,Susanville,CA,96130,T,$122 ,40.443162,-120.627166,28
171353,2502-09,Comfort Inn & Suites - Susanville,3015 Riverside Dr,Susanville,CA,96130-4569,T,$26 ,40.406288,-120.631027,0
233643,2502-09,Janesville Payless,463-770 Main St,Janesville,CA,96114,T,$12 ,40.295991,-120.523531,0
242634,2502-09, Susanville Police Department - D/S,1801 Main St,Susanville,CA,96130-4518,T,$0 ,40.415076,-120.647254,0
171622,2502-09,Idaho Grocery,2120 Main St,Susanville,CA,96130-4702,T,$20 ,40.414162,-120.643303,0
271040,2502-09,Pit Stop Tire Depot,658 N Market St,Redding,CA,960033608,F,$24 ,40.597229,-122.38662,12
294476,2502-09,Umpqua Bank,1951 Churn Creek Rd,Redding,CA,96002,W,$54 ,40.57907,-122.3535,0
296187,2502-09,Plumas Bank,192 Hartnell Ave.,Redding,CA,96002,W,$30 ,40.56801,-122.3693,0
299003,2502-09,New York Saloon,533 Main Street,Weaverville,CA,96093,R,$14 ,40.73337,-122.94042,0
300482,2502-09,Trinity River Lumber Maint. Shop,1121 Main Street,Weaverville,CA,96093,R,$83 ,40.72673,-122.93468,42
317649,2502-09,Clear View Auto Glass,1600 East Cypress Avenue #5,Redding,CA,96002,W,$30 ,40.57135,-122.34219,10
323107,2502-09,Lassen College - Automotive ,478-200 CA -139,Susanville,CA,96130,T,$8 ,40.443162,-120.627166,0
323722,2502-09,Trinity County Department of Transportation, 31820 CA-3,Weaverville,CA,96093,R,$56 ,40.73456,-122.934624,38
261201,2502-09, Value Inn & Suites,533 N Market St,Redding,CA,960033611,F,$207 ,40.598702,-122.384804,0
315175,2502-09,Fire House Grill,463-760 Main Street,Janesville,CA,96114,T,$15 ,40.29604,-120.52321,0
315825,2502-09,Raliberto's - Weaverville,120 Nugget Lane,Weaverville,CA,96093,R,$24 ,40.72105,-122.92908,0
320635,2502-09,SEMSA,1545 Bunyan Road,Susanville,CA,96130,T,$29 ,40.4224,-120.64825,10
322380,2502-09,Stelters HVAC Service,2335 Larkspur Lane Suite A,Redding,CA,96002,W,$56 ,40.57321,-122.35512,53
323103,2502-09,New Life Discovery Project,1205 Placer Street,Redding,CA,96001,F,$14 ,40.582799,-122.387914,0
325188,2502-09,Northeastern Rural Health Clinics,1850 Spring Ridge Drive,Susanville,CA,96130,T,$54 ,40.437674,-120.625913,0
231683,2502-09,S.V. Sewer Treatmentwwtp,200 Russell Ave,Susanville,CA,96130-4218,T,$41 ,40.414351,-120.63621,0
170777,2502-09,Holiday Mkt #59 Groc,3315 Placer St,Redding,CA,96001-2364,F,$90 ,40.574928,-122.416061,0
